NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT06957496,Phleum Pratense and Dactylis Glomerata Allergen Extracts Standardization,https://clinicaltrials.gov/study/NCT06957496,,COMPLETED,The primary objective is to assess the concentration of each allergen extract (Phleum pratense and Dactylis glomerata) that induces a wheal of size equivalent to that produced by a 10 mg/mL histamine dihydrochloride solution,NO,Allergy Pollen|Allergic Reaction|Allergic Skin Reaction,OTHER: Allergenic extracts,"Skin induced papule measurement, Measure of the area (mm\^2) of the induced wheal on the skin upon applying each of the 3 concentrations of each allergenic extract (Phleum pratense and Dactylis glomerata), as well as those induced by positive (histamine) and negative controls, through the prick test., 15 minutes after allergen introduction","Adverse events registration, Registration of any adverse events that occurred during the course of the trial, Through study completion, an average of 6 months|Adverse reactions registration, Registration and documentation of any adverse reaction that occurred during the course of the trial, Through study completion, an average of 6 months",,Inmunotek S.L.,,ALL,ADULT,NA,30,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: OTHER,G110-STD-071,2024-10-31,2025-04-30,2025-04-30,2025-05-04,,2025-05-04,"Clínica de Asma y Alergia Dres. Ojeda, Madrid, 28006, Spain",
NCT06955091,Effects of Contrast Strength Training in Badminton Players,https://clinicaltrials.gov/study/NCT06955091,,COMPLETED,"Badminton is one of the most popular sports worldwide. In general, badminton jumping actions have two goals: achieve maximum height and reach a precise location using certain body movements. Both objectives are important in badminton and must be considered when conducting practical training sessions and imparting techniques. The players should have agility to move on the court forward sideward and backward to do many actions with high speed. They require sports specific training to achieve power, stability and agility in the ground for a powerful performance. Contrast strength training is multi-intervention programs and it has a certain influence on agility, power and speed.A sample size of 48 badminton players from Pakistan Sports Board, university level and badminton club players will be taken through Non-Probability Convenience Sampling technique. Sample size of players with age group between 17-28 years will be taken. Players will be selected on the basis of inclusion and exclusion criteria and will be equally divided into two groups by random number generator table. Group A experimental group will perform contrast strength training. Group B participants of the control group will follow their standard badminton practice over the same duration with no strength training design. Before and after completion of the respective training agility and power will be assessed through t-test and vertical jump test. For explosive speed 40-yard dash will be performed. Data will be analyzed by using SPSS for Windows Version 25.",NO,Sports,OTHER: contrast strength training,"Agility T Test, The T-test, an accurate approach with a good intra-trial reliability score (ICC = 0.98), was used to measure agility. The participants were told to touch the first cone with their right hand after running 9.14 meters from the starting line. They shuffled to the second cone, which was 4.57 meters to the left, then to the third, which was 9.14 meters to the right, touching it with their right hand, then reversing to the starting line after shuffling 4.57 meters to the center cone and touching it with their left, 8 weeks|Vertical Jump Power Test, The participant applies chalk to the tips of their fingers. After standing away from the wall, the individual uses both arms and legs to help project their body upwards and jumped as high as they are capable of. Attempt to touch the wall at the top of the jump. Power will be measured by Sargent Test. Intra rater class reliability ICC = 0.903 to 0.934), 8 weeks|40-Yd Speed Test, Speed was evaluated using the 40-Yard Sprint Test, which involves completing a single maximum-effort sprint over a 40-yard distance while recording the time. The purpose of this test was to assess the participants' 40-yard sprint performance. The test demonstrated high reliability, with an intra class correlation coefficient (ICC) greater than 0.987, making it a reliable measure of quickness, 8 weeks",,,Riphah International University,,ALL,"CHILD, ADULT",NA,48,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,REC/RECR & AHS/24/0464,2024-10-24,2025-03-30,2025-04-15,2025-05-02,,2025-05-02,"Pakistan sports Board Lahore, Lahore, Punjab, Pakistan",
NCT06955780,Emotional Freedom Techniques on Burnout in Therapists,https://clinicaltrials.gov/study/NCT06955780,EFT,COMPLETED,"The goal of this study is to investigate the effectiveness of Emotional Freedome Techniques (EFT) on burnout in rehabilitation therapists. The main question\[s\] it aims to answer \[is/are\]:

1. Does a single session of EFT reduce burnout in therapists immediately and/or one month later as measured by the short version of the Burnout Assessment Tool (BAT-S)?
2. Does a single session of EFT reduce Subjective Units of Distress (SUDS) data related to burnout in therapists immediately and/or one month later?
3. Do clinicians with more years of experience have overall lower levels of burnout as measured by the BAT-S?
4. Are there significant differences in the level of burnout amongst occupational or physical therapists?

Participants will:

* Complete the demographic survey using the Qualtrics link. Information pertaining to age, gender, years of work experience, professional discipline, workplace setting, etc. will be gathered.
* Complete a short 12-item questionnaire (Burnout Assessment Tool - Short \[BAT-S\]) that immediately follows the demographic questions. Questions will be related to experiencing feelings of burnout.
* Attend a free, live, virtual wellness session. Before the session begins, you will be asked to privately answer three questions related to current levels of work distress, despair, and anxiety using a Qualtrics link. During the wellness session, the research team consisting of the PI and student researchers will describe what Emotional Freedom Techniques (EFT) is and how it is performed. The research team will then lead participants through EFT with you performing the technique on yourself.
* Immediately following the session, you will be asked to privately answer the three questions relating to work distress, despair, and anxiety again using a Qualtrics link.
* One month after completing the session, you will receive an email containing a Qualtrics link to answer the work distress, despair, and anxiety questions again, as well as the BAT-S in order for the researchers to collect follow-up data.",NO,"Burnout|Anxiety|Distress, Emotional",OTHER: Emotional Freedom Techniques,"Subjective Units of Distress, The SUDS is a rating scale used with EFT to measure individuals' current subjective units of distress. The scale ranges from 0 to 10, with 0 being no distress and 10 being the highest level of distress (Church, 2019)., before, immediately after, and at the one-month follow-up of the EFT session|Burnout Assessment Tool (BAT), The BAT is a self-report, Likert-scale questionnaire used to measure burnout. The developers divided burnout into four core scales: exhaustion, mental distance, cognitive impairment, and emotional impairment., before EFT session and at the one-month follow-up",,,University of Indianapolis,,ALL,"ADULT, OLDER_ADULT",NA,18,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,01870,2023-10-22,2024-02-10,2025-04-21,2025-05-02,,2025-05-02,"University of Indianapolis, Indianapolis, Indiana, 46227, United States",
NCT06955351,REsuscitation Survey of Police Officers in New Taipei City for Duty,https://clinicaltrials.gov/study/NCT06955351,RESPOND,COMPLETED,"Out-of-hospital cardiac arrest (OHCA) remains a time-critical emergency where early cardiopulmonary resuscitation (CPR) and timely defibrillation using an automated external defibrillator (AED) are key to improving survival and neurological outcomes. Although Taipei has implemented dispatch-assisted CPR, delays remain between arrest recognition and AED application due to manpower and policy limitations. International guidelines, including the Global Resuscitation Alliance's ten steps to improve OHCA outcomes, recommend involving police as first responders. Prior studies from the United States and Switzerland demonstrate that police often arrive before emergency medical services (EMS), underscoring their potential role in reducing response times. However, police have not been officially included in OHCA dispatch systems in any region of Taiwan. This study aims to evaluate the willingness of police officers in New Taipei City to participate in prehospital resuscitation through a structured questionnaire. The survey also explores perceived facilitators and barriers to involvement. Findings will inform future training programs and strategies to promote police integration into prehospital emergency response systems, with the ultimate goal of improving OHCA survival rates.",NO,Bystander|Chest Compression|Out of Hospital Cardiac Arrest|AED|Police|Willingness to Participate,OTHER: Survey by Questionnaire,"Willingness to Perform CPR and Use an AED at the Scene of an Emergency, This outcome assesses whether participants are willing to go to the scene of an emergency under the command of the duty center to directly perform CPR and use AED to help patients. Options include: Yes; No., Baseline|Willingness to Receive AED Location Notification and Assist in Delivery and Use, This outcome assesses whether participants are willing to receive alerts from the dispatch center about nearby AED locations and assist in delivering the AED to the emergency scene and using it. Options include: Yes; No., Baseline","Sex, This outcome evaluates responses to the question: ""Gender."" Options include: Male; Female., Baseline|Year of Birth, This outcome collects data on the participant's year of birth. This is a numerical, free-text entry used to assess age distribution., Baseline|Education Level, This outcome evaluates participants' highest attained level of education. Options include: High school; College or vocational school; Master's degree; Doctoral degree., Baseline|Marital Status, This outcome assesses the participant's marital status. Options include: Single; Married; Divorced., Baseline|Years of Service, This outcome collects data on the participant's length of service. Participants are asked to specify their years of service in both administrative and frontline (field) positions., Baseline|Co-residence with Elderly, This outcome evaluates whether participants live with adults aged 65 or older. Options include: Yes - number of people; No., Baseline|Awareness of AED, This outcome assesses whether participants have heard of an Automated External Defibrillator (AED). Options include: Yes; No., Baseline|Ability to Identify AED in Public, This outcome investigates whether participants believe they can identify an AED in a public setting. Options include: Yes; No., Baseline|Willingness to Use CPR + AED in Emergencies, This outcome evaluates the participant's willingness to perform cardiopulmonary resuscitation (CPR) and use an AED during emergencies. Options include: Yes; No., Baseline|Concerns About Performing CPR + AED (Multiple Selection), This outcome identifies concerns participants may have about performing CPR and using an AED. Options include:

1. Concern about legal or medical liability
2. Concern about lack of skills causing harm
3. Never seen an AED
4. Belief that only trained personnel should use AEDs
5. Other (please specify), Baseline|Confidence in Performing CPR, This outcome evaluates whether participants feel confident in their ability to perform CPR. Options include: Yes; No., Baseline|Confidence in Using AED, This outcome evaluates whether participants feel confident in their ability to use an AED. Options include: Yes; No., Baseline|Belief in Ability to Accurately Perform CPR, This outcome assesses whether participants believe they can accurately perform CPR. Options include: Yes; No., Baseline|Belief in Ability to Accurately Use AED, This outcome assesses whether participants believe they can accurately use an AED. Options include: Yes; No., Baseline|Previous Training in CPR + AED, This outcome assesses whether the participant has ever received training related to CPR and AED use. Options include: Yes; No., Baseline|Timing of Most Recent CPR + AED Training, This outcome evaluates the recency of the participant's latest CPR and AED training. Options include:

1. Within the past 6 months
2. Between 6 months and 1 year
3. More than 1 year ago
4. Never received training, Baseline|Type and Duration of Last Training, This outcome assesses the format and total duration (in hours) of the participant's most recent CPR + AED training. Options include:

1. In-person training
2. Online training
3. Blended (online + in-person) Total training hours: (open entry), Baseline|Perceived Eligibility to Use AED, This outcome evaluates who participants believe is eligible to use an AED. Options include:

1. Medical personnel
2. Emergency medical responders
3. Staff at AED-installed locations
4. Anyone capable of using it
5. Not sure, Baseline|Willingness to Use CPR + AED on Strangers, This outcome evaluates participants' willingness to perform CPR and use an AED on strangers. Options include: Yes; No., Baseline|Reasons for Unwillingness to Perform CPR + AED on Strangers (Multiple Selection), This outcome identifies reasons why participants may be unwilling to assist strangers. Options include:

1. Concern about legal or medical liability
2. Concern about lack of skills causing harm
3. Belief AEDs should be used only by trained personnel
4. Unfamiliar with CPR or AED
5. Prefer to assist only family or friends
6. Concern about hygiene or infectious diseases
7. Other (please specify), Baseline|Belief that the Public Should Learn CPR + AED, This outcome assesses whether participants believe all citizens should be trained in CPR and AED use. Options include: Yes; No; Other (please specify)., Baseline|Willingness to Attend Free CPR + AED Course, This outcome evaluates whether participants are willing to attend a free CPR and AED training course. Options include: Yes; No., Baseline|Willingness to Spend Time on Free CPR + AED Course, This outcome assesses how much time participants are willing to spend attending a free CPR + AED course. Options include:

1. Less than 1 hour
2. 1 to 2 hours
3. 2 to 3 hours
4. 3 to 4 hours
5. More than 4 hours, Baseline|Main Reason for Not Attending Free CPR + AED Course, This outcome identifies the main reason participants are not willing to attend a free CPR and AED course. Options include:

1. I don't need it
2. I have a full schedule
3. I already receive regular CPR + AED training
4. Other (please specify), Baseline|Awareness of Good Samaritan Law, This outcome evaluates whether participants have heard of the Good Samaritan Law. Options include: Yes; No., Baseline|Impact of Good Samaritan Law on Willingness to Perform CPR + AED, This outcome evaluates whether knowledge of the Good Samaritan Law increases participants' willingness to perform CPR and use an AED. Options include: Yes; No., Baseline|Reasons for Unwillingness to Deliver and Use an AED (Multiple Selection), This outcome identifies the reasons why participants may be unwilling to deliver and use an AED during an emergency. Options include:

1. Concern about legal or medical liability
2. Concern about lack of skills causing further harm
3. Belief that AEDs should only be used by trained emergency responders
4. I have never seen an AED
5. I would prefer to use it only on family or friends
6. I believe it is the fire department's responsibility
7. I do not want to increase my workload, Baseline|Incentives That May Increase Willingness to Deliver and Use an AED (Multiple Selection), This outcome evaluates potential incentives that could increase participants' willingness to deliver an AED to the scene and use it. Options include:

1. Comprehensive education and training
2. Legal or medical liability exemption
3. Administrative rewards (e.g., commendation or merit award) if the patient recovers and is discharged
4. Monetary rewards if the patient recovers and is discharged
5. Other (please specify), Baseline|Reasons for Unwillingness to Perform CPR and Use an AED at the Scene (Multiple Selection), This outcome identifies the reasons why participants may be unwilling to perform CPR or use an AED at the scene of an emergency. Options include:

1. Concern about legal or medical liability
2. Concern about insufficient skills causing harm
3. Belief that CPR should only be performed by trained emergency personnel
4. I do not know how to perform CPR
5. I would prefer to assist only family or friends
6. I believe this is the fire department's responsibility
7. I do not want to increase my workload, Baseline|Incentives That May Increase Willingness to Perform CPR and Use an AED at the Scene (Multiple Selection), This outcome evaluates potential factors that may increase participants' willingness to perform CPR and use an AED at the scene of an emergency. Options include:

1. Comprehensive education and training
2. Legal or medical liability exemption
3. Administrative rewards (e.g., commendation or merit award) if the patient recovers and is discharged
4. Monetary rewards if the patient recovers and is discharged
5. Other (please specify), Baseline|Perceived Effectiveness of Police Administering CPR and AED Before EMS Arrival, This outcome assesses whether participants believe that police officers performing CPR and using an AED before the fire department or EMS arrives can help the patient. Options include:

1. Yes, I believe it can help
2. No, I do not believe it can help, Baseline",,Far Eastern Memorial Hospital,New Taipei City Police Department|New Taipei City Fire Department,ALL,"CHILD, ADULT, OLDER_ADULT",,4867,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,112212-E|FEMH-2023-C-046,2023-12-01,2025-04-01,2025-04-02,2025-05-02,,2025-05-02,"Far Eastern Memorinal Hospital, New Taipei City, 220, Taiwan",
NCT06953427,The Impact of Age on Short-term Post-thrombectomy Outcomes in Patients Aged 70 or Beyond With Acute Ischemic Stroke,https://clinicaltrials.gov/study/NCT06953427,,COMPLETED,"A recent Cochrane systematic review of 18 randomized controlled trials (RCTs) comparing endovascular intervention-either mechanical thrombectomy or intra-arterial thrombolysis combined with medical treatment-to conservative medical treatment alone provided high-certainty evidence that endovascular intervention increases the likelihood of achieving a favorable functional outcome (modified Rankin Scale \[mRS\] score of 0-2) by 50% in patients with acute ischemic stroke (AIS).1 More recently, a cross-Atlantic RCT was conducted to determine whether endovascular therapy (EVT) plus medical care is superior to medical care alone in patients with acute proximal cerebral vessel occlusion in the anterior circulation and large infarcts, regardless of infarct size. The study confirmed a 63% increased odds of a favorable outcome with EVT plus medical care. In real-world registries of EVT for AIS due to large-vessel occlusion in the anterior circulation, approximately one-half of patients are aged 70 and older, while 13% to 39% are aged 80 and beyond. In patients aged 70 and beyond who are EVT-eligible, post-procedure mortality increases progressively with increasing age. A prospective European study found that each additional year of age was associated with an 8% decline in the likelihood of achieving a favorable functional outcome. In elderly patients, increasing age is more than just a number-it reflects a higher likelihood of significant medical comorbidities, polypharmacy, declining functional status, compromised nutritional status, and weakened immune function. Research on age as a predictor of EVT outcomes often compares elderly patients to much younger counterparts. However, contrasting post-EVT outcomes in older adults with those under 70 is neither realistic nor appropriate due to inherent differences in baseline health, comorbidities, and physiological resilience. Therefore, the investigators analyzed a prospectively registered cohort to assess whether age influences post-EVT functional outcomes, using septuagenarians as the control group.",NO,Acute Cerebral Ischemia|Endovascular Thrombectomy|Prognosis|Age Factors|Interventional Radiology|Elderly (Aged &gt;70),,"Post-endovascular thrombectomy modified Thrombolysis in Cerebral Infarction (mTICI) reperfusion grade, Modified Treatment In Cerebral Ischemia (TICI) scale:

Score Definition 0: No reperfusion;

1: Flow beyond occlusion without distal branch reperfusion; 2a: Reperfusion of less than half of the downstream target arterial territory; 2b: Reperfusion of more than half, yet incomplete, in the downstream target arterial territory; 3: Complete reperfusion of the downstream target arterial territory, including distal branches with slow flow.

This is an immediate post-procedure assessment relating to capillary-level reperfusion as measured on catheter angiography., Immediate post-thrombectomy|Three-months post-EVT modified Rankin scale (mRS), Modified Rankin Scale Score Description 0: No symptoms at all;

1. No significant disability despite symptoms; able to carry out all usual duties and activities;
2. Slight disability; unable to carry out all previous activities, but able to look after own affairs without assistance;
3. Moderate disability; requiring some help, but able to walk without assistance;
4. Moderately severe disability; unable to walk without assistance and unable to attend to own bodily needs without assistance;
5. Severe disability; bedridden, incontinent, and requiring constant nursing care and attention;
6. Dead., 3-months post-EVT","Spontaneous intracerebral hemorrhage, A CT scan will be performed on day 2 to detect any spontaneous intracerebral hemorrhage. In patients who are fine on day 2, will perform CT scan to check bleeding when symptoms arise., Day 2 to Day 90 post-EVT",,Kuang Tien General Hospital,,ALL,OLDER_ADULT,,94,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,KTGH-IN-24-003,2025-02-01,2025-04-15,2025-04-15,2025-05-01,,2025-05-01,"Department of Interventional Neuro-Radiology, Kuang Tien General Hospital, Taichung, 433004, Taiwan",
NCT06954181,Quantification of Diclofenac 2.32% (Voltaren) in Rinse Water After Different Application Methods,https://clinicaltrials.gov/study/NCT06954181,,COMPLETED,The purpose of this study is to quantify the amount of diclofenac in rinse water after application of the test product (Voltaren® Schmerzgel forte; 2.32 percent \[%\]) containing 2.32% Diclofenac-N-Ethylethanamin either by hand or using an applicator and subsequent washing and/or wiping.,NO,Healthy Participants,DRUG: Voltaren® Schmerzgel forte; 2.32% (Test Product),"Concentration of Voltaren® Schmerzgel forte; 2.32% (Diclofenac) in Water (Milligrams per Liter [mg/L]), The concentration of diclofenac in rinse water samples (mg/L) collected after application of the test product (Voltaren® Schmerzgel forte; 2.32%) either by hand or using an applicator and subsequent washing will be determined with High-performance liquid chromatography (HPLC)., Day 1, Day 3 and Day 5|Amount of Test Product Residues by Gravimetrical Measurements (Milligrams [mg]), Test product (Voltaren® Schmerzgel forte; 2.32%) residues will be collected using Method 3 (application of the test product using an applicator and subsequent wiping with a paper towel and washing). The paper towels will be weighed before and after application. The amount of test product residues (mg) in paper towel will be determined using gravimetrical measurements., Day 1, Day 3 and Day 5",,,HALEON,,ALL,"ADULT, OLDER_ADULT",NA,33,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: CROSSOVER|Masking: NONE|Primary Purpose: OTHER,300272,2025-03-26,2025-04-11,2025-04-11,2025-05-01,,2025-05-01,"SGS proderm GmbH, Schenefeld, 22869, Germany",
NCT06953713,TSH Risk by Extraction Site in Lap Cholecystectomy,https://clinicaltrials.gov/study/NCT06953713,,COMPLETED,"The main purpose of this study is to determine whether removing the gallbladder through different incision sites (ports) during laparoscopic surgery affects the risk of developing an incisional hernia. All patients undergo the same number of incisions, and the surgical technique remains standardized.

The study also aims to identify other factors that may contribute to the risk of hernia formation following gallbladder surgery.",NO,Gallstone,PROCEDURE: gallbladder extraction umbilical|PROCEDURE: extracting gallbladder via epigastric port,"Incidence of Trocar Site Hernia Following Laparoscopic Cholecystectomy, The primary outcome is to determine whether the site of gallbladder retrieval influences the incidence of postoperative incisional hernia following laparoscopic cholecystectomy., From operation to end of follow-up period at 1 year","Postoperative Pain Assessed by Visual Analog Scale (VAS) at 6 and 24 Hours, This outcome evaluates the relationship between the gallbladder extraction site and postoperative pain, measured using the Visual Analog Scale (VAS) at 6 and 24 hours after surgery. The VAS is a 10-point scale ranging from 0 (no pain) to 10 (worst imaginable pain). Higher scores indicate greater pain severity., From end of operation to postoperative 24 hours|Incidence of Trocar Site Hernia in Relation to Patient- and Surgery-Related Risk Factors, This outcome measures the incidence of trocar site hernia during a one-year follow-up and evaluates its statistical correlation with various clinical and surgical risk factors. These include age (years), sex (male/female), BMI (kg/m²), diabetes status (yes/no), extraction site location (umbilical or epigastric), fascial closure status (closed/open), and intraoperative widening of the extraction site (yes/no). The hernia diagnosis will be based on clinical evaluation and ultrasonographic confirmation.

Data will be analyzed using correlation or regression methods to assess the strength of association between these variables and hernia development., From operation to end of follow-up period at 1 year",,Fatih Basak,,ALL,"ADULT, OLDER_ADULT",NA,110,OTHER_GOV,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION",B.10.1.TKH.4.34.H.GP.0.01/27,2022-04-15,2024-06-15,2025-04-04,2025-05-01,,2025-05-01,"Umraniye Research and Training Hospital, İstanbul, Umraniye, 34760, Turkey","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/13/NCT06953713/Prot_SAP_000.pdf|Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/13/NCT06953713/ICF_001.pdf"
NCT06953219,Relationship Between 2D:4D Finger Ratio and Proprioception,https://clinicaltrials.gov/study/NCT06953219,,COMPLETED,"Background: 2D:4D ratio (the ratio of the length of the second digit to the length of the fourth digit) has been reported to be associated with muscle strength and physical performance, numerical competencies, spatial skills and cognitive abilities. However, the relationship between 2D:4D ratio and proprioception is not well-known, which was therefore aimed at investigating in current study. Methods: 2D:4D ratio (electronic digital calliper) and proprioception (Join position error is measure with Cervical Range of Motion instrument) were assessed in all individuals (n=35.7 ± 11.2 years).",NO,Proprioception,,"Finger length measurement and 2D:4D ratio calculation, The lengths of the second (2D) and fourth (4D) fingers on each hand were measured using an electronic digital caliper with a precision of 0.01 millimeters. Measurements were taken on the palmar surface of the hand, extending from the distal tip of the finger to the basal crease at the proximal end of the digit.The 2D:4D ratio was calculated separately for the right and left hands. To enhance the accuracy of the 2D:4D ratio measurements, each finger was measured three times during a single assessment session by the same investigator. The repeated measurements were not taken consecutively; instead, at least one other hand was measured between the first and second measurements of any given hand. This procedure was implemented to minimize the potential influence of recall bias on subsequent measurements., baseline|Cervical Range of Motion, The cervical range of motion measurement was performed using a Cervical Range of Motion (CROM) device, which is a reliable and valid tool. The CROM unit is a mechanical instrument that measures cervical ranges by combining a magnetic reference with standard inclinometers. The individuals were told to sit comfortably with their hands on the armrest and their backs straight on the chair. The CROM unit was secured on the individuals' head by the physiotherapist. The CROM unit's magnetic yoke is positioned squarely around the neck with its arrow pointing directly north. Afterwards, physiotherapist asked individuals to perform cervical range of motion in all three directions: flexion- extension, lateral flexion and rotation.The maximum range of cervical flexion, extension, left and right rotation, and left and right lateral flexion was measured three times and averaged., baseline|Repositioning to neutral head position (NHP), For the NHP assessment, the individuals were asked to keep their head in the neutral head position, with their eyes closed. The deviations from the neutral (0) position in the sagittal (flexion-extension), frontal (lateral flexion), and transverse (rotation) planes were recorded using the CROM device., baseline|Repositioning the head to a predetermined reference point (Target Head Position, THP), For the assessment of THP, the target position will be defined as half of the maximum active range of motion measured during a standard cervical joint mobility assessment. While the patient's eyes are covered with an eye mask, the head will first be slowly positioned by the physiotherapist to the predetermined target angle and held in this position for five seconds for the patient to perceive. Subsequently, the head will be moved away from the target position, and the patient will be asked to actively reposition it to the original target. Each measurement will be repeated three times, and the mean deviation from the target angle will be recorded. Measurements will be conducted separately for flexion, extension, right rotation, left rotation, right lateral flexion, and left lateral flexion, baseline",,,Izmir Democracy University,,ALL,"ADULT, OLDER_ADULT",,88,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,2025/405,2025-01-29,2025-03-24,2025-04-09,2025-05-01,,2025-05-01,"Izmir Democracy University, Izmir, 35140, Turkey",
NCT06951321,Characteristics of Postinfectious Cough,https://clinicaltrials.gov/study/NCT06951321,,COMPLETED,"Collect the age, sex and other demographic data of 1600 patients with chronic cough after COVID-19 infection and clinical parameters such as cough characteristics, establish a cohort of patients with chronic cough after COVID-19 infection, observe the type and level of airway inflammation, airway responsiveness, cough sensitivity and changes in microbiology of patients with chronic cough after COVID-19 infection, clarify the epidemiological characteristics, clinical pathophysiological characteristics, long-term prognosis and related factors of patients with chronic cough after COVID-19 infection, explore the clinical pathophysiological characteristics and pathogenesis of cough after COVID-19 infection, and provide a theoretical basis for the treatment of persistent cough after COVID-19 infection.",NO,Cough,,"cough duration, The total cough duration after COVID-19 infection reported by the patient, From enrollment to 1 year after the enrollment",,,Kefang Lai,,ALL,"ADULT, OLDER_ADULT",,1650,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,ES-2023-032-01,2023-03-01,2025-04-01,2025-04-01,2025-04-30,,2025-04-30,"The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, 510120, China",
NCT06950554,Validity and Reliablity of i-TUG Via EncephaLog,https://clinicaltrials.gov/study/NCT06950554,EncephaLog,COMPLETED,"This study investigated the test-retest reliability and construct validity of the i-TUG, standard TUG, and Berg Balance Scale (BBS) using the EncephaLog smartphone application in individuals with chronic ischemic stroke. A total of 49 participants were assessed in two sessions to evaluate test-retest reliability. Construct validity was analyzed using Pearson correlation coefficients. Standard Error of Measurement (SEM) and Minimal Detectable Change (MDC) values were also calculated.",NO,"Stroke, Ischemic|Balance Assessment|Smartphones",,"Instrumental Timed Up and Go Test (i-TUG) by EncephaLog, The EncephaLog is an FDA-cleared, smartphone-based application designed to assess dynamic balance and gait disorders in older adults and individuals with neurological or non-neurological conditions. The application uses the smartphone' built-in accelerometer and gyroscope to deliver reliable and valid kinematic assessments., Day 1 and Day 7|Timed Up and Go Test (TUG), The TUG test is a commonly used and validated measure to assess balance and mobility. Initially developed for older adults, 29 it has since been widely adopted for neurological and pediatric populations. 30-32 The test requires the participant to rise from a chair, walk 3 meters, turn, return, and sit down. The time to complete the task is recorded. A score greater than 13.5 seconds indicates an increased risk of falling in elderly., Day 1 and Day 7|Berg Balance Scale (BBS), The BBS consists of 14 items designed to assess postural control and fall risk in elderly individuals. 35 Tasks include sitting to standing, standing unsupported, transfers, turning, and stepping. Each item is scored from 0 to 4, and the total score ranges from 0 to 56. A score between 0-20 indicates high fall risk and need for assistive devices; 21-40 indicates moderate fall risk; and 41-56 indicates low fall risk with no need for assistive devices., Day 1 and Day 7",,,Istanbul University - Cerrahpasa,,ALL,CHILD,,37,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,12.11.2024-171654,2024-11-25,2025-03-05,2025-04-05,2025-04-30,,2025-04-30,"Bezmialem Vakif University, Istanbul, Eyupsultan, 34250, Turkey",
