NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT06954688,The Influence of Dry Needling for Hypertonia and Spasticity Treatment on Neuropathic Pain in Lower Extremity of Spinal Cord Injury: A Case Series Study,https://clinicaltrials.gov/study/NCT06954688,,TERMINATED,"Spinal cord injury is a life-changing event that places a burden on the healthcare system, including caregivers and affected individuals. Studies do not provide a conclusive incidence rate due to methodological differences. However, a trend observed in recent years is an increasing incidence among the elderly population due to falls or non-traumatic spinal cord injury.

The clinical consequences of spinal cord injury include pain and spasticity, in addition to loss of function and activity. On average, 69% of spinal cord injury patients report pain, with one-third experiencing severe pain. A similar prevalence is seen for spasticity, which is often underreported among spinal cord injury patients. Unlike pain, spasticity is considered a common symptom in chronic spinal cord injury, with at least 35% of the SCI population suffering from this sensorimotor control disorder. These two symptoms suggest a correlation, yet clear evidence is lacking.

The secondary aim of this study is to explain the mechanisms of action of Dry Needling at various levels to better determine which subgroup of spinal cord injury patients would benefit most. A targeted study could optimize the effects of such a treatment: a better understanding of the underlying mechanisms could help with patient stratification and promote a more individualized approach, taking into account the pathogenesis of spasticity and the different mechanisms that can effectively modulate it.

Additionally, this study examines the effect of the dry needling technique on hypertonia and spasticity in the spastic calf muscles of spinal cord injury patients. Research has already shown that this technique has acute effects on hypertonia and spasticity in stroke, multiple sclerosis, and Parkinson's disease. However, reliable research on spinal cord injury is lacking-currently, only a case report has investigated these effects. Therefore, this study is well-suited to build upon that case report and provide more evidence.

Furthermore, this study serves as a prospective study to observe the correlation between neuropathic pain and spasticity over time. As a pilot study, it has established a collaboration with the REVARTE rehabilitation hospital, which has a large spinal cord injury population.

The research will be conducted under the supervision of Prof. Dr. Steven Truijen (Universiteitsplein 1, 2610 Wilrijk, Belgium, steven.truijen@uantwerpen.be) and Prof. Dr. Wim Saeys (Universiteitsplein 1, 2610 Wilrijk, Belgium, wim.saeys@uantwerpen.be), organized from the University of Antwerp. During this study, no research costs will be charged to the patient, health insurance, or research environment.

Thank you in advance for your attention to our research.",NO,Neuropathic Pain|Spasticity|Dry Needling Technique|Spinal Cord Injury,OTHER: dry needling,"DN4 Questionnaire:, This questionnaire consists of ten items (four questions) on a total score of ten points. It has a cut-off of four points to identify the reported pain as neuropathic. The DN4 Questionnaire has been identified as a reliable and sensitive assessment for neuropathic pain, At week 1(beginning of the study, pre-intervention period) , week 4 (mid-study) and week 8 (end of the study, post-intervention period)|PainDetect Questionnaire(PD-Q), This questionnaire has been included to monitor pain severity and/or its time-dependent course17. It is a more extensive questionnaire In comparison to the DN4 Questionnaire despite having a lower sensitivity than the latter in SCI populationn16. Still, the PD-Q was chosen over the Leeds Assessment of Neuropathic Symptoms and Signs (LANSS) because of the difference between sensitivity (PD-Q 68% versus LANSS 36%)., At week 1(beginning of the study, pre-intervention period) , week 4 (mid-study) and week 8 (end of the study, post-intervention period)|The International Spinal Cord Injury Pain (ISCIP) Classification:, This classification fits as a valid assessment that is comprehensive and feasible in use for experienced as well as non-experiences clinicians and includes all types of pain related to Spinal Cord Injury., Twice: Pre-intervention period (week 1) and post-intervention period (week 8)","Modified Tardieu Scale, Is a 6 point scale from 0 to 5 which assess spasticity or hypertonia in three different velocities19. First the passive Range Of Motion (PROM) will be tested and identified as R2 (Full range of motion achieved when muscle is at rest and tested at V1 velocity). Next, Velocity V2 will be applied (see below) to identify any catch or resistance. Last, V3 velocity follows to identify R1 (Angle of catch seen at Velocity V3, or V2 if possible). Outcome data of this assessment will be R1, R2 and the grading of muscle resistance., Every week (week1 to week 8)|ASIA scale, A standard assessment of motor, sensory and reflex loss after spinal cord injury. The inter-rater as was intra-rater reliability are high (ICC's 0.88-0.96 and 0.98), Twice: Pre-intervention period (week 1) and post-intervention period (week 8)|Spinal Cord Independence Measure (SCIM), With a moderate to high Inter rater reliability ( 0.696- 0.983), this 17-item questionnaire on a scale of 100 points will assess the participant on activity level, At week 1(beginning of the study, pre-intervention period) , week 4 (mid-study) and week 8 (end of the study, post-intervention period)|Two minute walk test, The assessment is validated to be reliable in spinal cord injury (r = 0.980, p \< 0.001). The patient will be instructed before the test's start. Patient will be instructed to cover as much distance in two minutes with or without aid. The test requires two test samples before the actual test which also will be measured. Encouragement is allowed as well as sharing the half-time of the test. This test only applies for patients able/willing to walk., At week 1(beginning of the study, pre-intervention period) , week 4 (mid-study) and week 8 (end of the study, post-intervention period)|Quality of Life Questionaire(Sci-QoL), The assessment will be done before the intervention period (screening), during the intervention period once in the third week and one week after the intervention period. Specific for SCI population., At week 1(beginning of the study, pre-intervention period) , week 4 (mid-study) and week 8 (end of the study, post-intervention period)",,Universiteit Antwerpen,Revalidatieziekenhuis RevArte,ALL,"ADULT, OLDER_ADULT",NA,5,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,6585,2024-09-06,2025-02-04,2025-02-04,2025-05-01,,2025-05-01,"Department of Rehabilitation sciences and physiotherapy (MOVANT), Antwerpen, 2020 Antwerpen, Belgium",
NCT06834399,TATE and KN046 in MCRC,https://clinicaltrials.gov/study/NCT06834399,,TERMINATED,"A single-arm, multicenter, Phase IIA study of Intra-arterial Administration of Tirapazamine followed by Transarterial Embolization (TATE) and KN046 (recombinant humanized anti-PD-L1/CTLA-4 bispecific single-domain antibody Fc fusion protein injection) in patients with liver metastases from colorectal cancer.",NO,Colorectal Cancer with Hepatic Metastases,DRUG: KN046 （PD-L1/CTLA4 BsAb）|PROCEDURE: TATE：Intra-arterial Administration of Tirapazamine followed by Transarterial Embolization,"ORR, Objective Response Rate (assessed by mRECIST/RECIST), 24 months|OS, Overall Survival, 24 months","DCR, Disease control rate, 24 months|PFS, Progression-free survival, 24 months|survival rates, 6-month, 1-year, and 2-year survival rates, 24 months",,"Zhejiang Raygene Pharmaceuticals Co., Ltd","Jiangsu Alphamab Biopharmaceuticals Co., Ltd",ALL,"ADULT, OLDER_ADULT",PHASE2,42,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,RG-KN-001,2023-04-27,2024-12-17,2025-01-09,2025-02-19,,2025-02-19,"Sun Yat-sen University Cancer Center, Guangzhou, Guangdong, China",
NCT06824870,Exploratory Study Evaluating the Effects of Dermo-cosmetic RV5026B Applied for 2 Months in Adults With Erythrocouperosis,https://clinicaltrials.gov/study/NCT06824870,,TERMINATED,"This exploratory study aims to evaluate the effects of the test product RV5026B - ET1732 on erythema, as well as on the sensations of discomfort and relief perceived in subjects with erythrocouperose and associated pityriasis folliculorum.

We wish to evaluate:

* firstly the test product alone in order to quantify the effects on the signs \& symptoms on the entire face,
* then the contribution of the test product in addition to a reference topical treatment.

The test product RV5026B - ET1732 was developed to:

* Reduce redness, even if it has already set in, and help limit its reappearance
* Soothe the sensations of heating and discomfort associated",NO,Erythrocouperose Associated With Pityriasis Folliculorum of the Face,OTHER: RV5026B - ET1732 - Period 1|DRUG: reference topical product - Period 2|OTHER: RV5026B - ET1732 - Period 2,"Erythema score, Assessed by the investigator according to the Investigator Global Assessment - IGA - scale (score from 0 to 3: None toSevere) on each side of the face, Day 1, Day 29 & Day 57|Overall dynamic efficiency score, Assessed by the investigator according to Investigator's Global Assessment (IGA) - (-3 to +3) (Very significant worsening = -3to Very significant improvement = +3) compared with baseline status at visit 1 on each side of the face, Day 29 & Day 57|Demodex density, assessed by Standardized Skin Surface Biopsy (SSSB1 \& SSSB2 and SSSB1+2) on each hemiface by on-site optical microscope count, then protein analysis on SSSBs sample, Day 1, Day 29 & Day 57|Rating of the intensity of the erythema, (score from 0 to 100) by centralized a posteriori analysis of the photographs taken on each side of the face, carried out by an expert dermatologist using software presenting the images taken for each of the subjects, blindly, Day 1, Day 29 & Day 57|Flush score, Score over the last 3 days preceding the assessment according to the Global Flushing Severity Score - GFSS - numerical scale (score from 0 to 10 - None to Extreme: ) on each side of the face, Day 1, Day 29 & Day 57|Dynamic SGA (subject global assessment) scale, Scale with 7 points (-3 to +3) (Very significant worsening = -3 to Very significant improvement = +3) in comparison with the initial state of visit 1 on each side, Day 1, Day 29 & Day 57|Subject acceptability questionnaire, assessed by the subject with subject's questionnaire, Day 29 & Day 57|Tolerance of the products for 2 months of use by adverse events, Recording of Adverse events, Day 1, Day 29 & Day 57|Tolerance of the tested product for 2 months of use by global tolerance per subject, assessed by the investigator for both groups and per subject, considering all individual AE and their characteristics, based on a 5-point scale (0=Bad tolerance, 4= Excellent tolerance), Day 29 & Day 57|Subject's compliance regarding the test product, The subject will report his compliance in a subject's diary., During the entire course of the study (approximately 57 days)",,,Pierre Fabre Dermo Cosmetique,,ALL,"ADULT, OLDER_ADULT",NA,28,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,RV5026B20220514,2023-10-20,2025-02-20,2025-02-20,2025-02-13,,2025-04-08,"Dr FORTON, Schaerbeek, 1030, Belgium",
NCT06823505,Lung Cancer Patients and Parent-child Interaction Experience and Process,https://clinicaltrials.gov/study/NCT06823505,,TERMINATED,"Type of study: The goal of this observational study is to explore the relationship between patients with advanced lung cancer and their parent-child interactions during the treatment process, and to understand the impact of the degree of self-differentiation of parents with advanced lung cancer on the physical and mental health of their children. The main questions it aims to answer are:

1. To explore the post-illness adjustment process of patients with advanced lung cancer and the changes in the parent-child relationship among adolescents.
2. To explore the changes in demographic factors-self-belief, mental health, and self-efficacy among patients with advanced lung cancer-and the parent-child relationship among adolescents.
3. Explore the family resilience of patients with advanced lung cancer - family peer relationships, and the interaction between parent-child relationships among adolescents.",NO,Lung Cancer Patients|Parent-child Interaction,OTHER: structured questionnaire,"Parent-child interaction, The interaction between patients with advanced lung cancer and their parents and children during the treatment process, one years|Center for Epidemiological Studies Depression Scale, The CES-D scale is designed to measure an individual's depression level, covering multiple aspects such as depressed mood, guilt, helplessness, decreased appetite, sleep disturbance and psychomotor retardation, with a total of 20 items. The subjects evaluated the frequency of each symptom in the past week using a four-point scale (1 point: never or rarely; 4 points: often). Studies have shown that CES-D has good internal consistency (α=0.85) (Conerly et al., 2002; Given et al., 2004) and reliability (Cronbach's alpha \> 0.85) in cancer patients (Hann et al., 2004). al., 1999) , and therefore can effectively assess the level of depression in cancer patients. In short, the CES-D is a validated tool for assessing depression in cancer patients., one years",,,National Taiwan University Hospital,,ALL,ADULT,,109,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,202306102RINB,2023-12-17,2025-01-21,2025-01-21,2025-02-12,,2025-02-12,"National Taiwan University Hospital, Taipei City, 100225, Taiwan|Nation Taiwan University Hospital, Taipei, 100225, Taiwan",
NCT06708611,A Crossover Study of Patients with HF to Compare Natriuretic Effects of IR Torsemide Vs. ER Torsemide Over 12 Hrs,https://clinicaltrials.gov/study/NCT06708611,EXTOR-HF,TERMINATED,"This is a randomized double-blind crossover study of the patients with stable heart failure, who are taking a loop diuretic. During the study period, the participants' loop diuretics will be replaced by the equivalent dose of immediate release/extended release torsemide for one week. After a one week period, they will report to the site and will receive a single dose of either immediate release or extended release Torsemide. The sodium excretion will be measured for six hours after dosing and for an additional six hours after a high salt lunch.",NO,Heart Failure,DRUG: torsemide,"Cumulative Na+ excretion over 6 hours, The primary outcome is the cumulative Na+ excretion over 6 hours after lunch., 6 hours after lunch","Fluid and Na+ excretion over the 6 hours, Fluid and Na+ excretion over the 6 hours after breakfast, 6 hours after lunch, and 24 hours after dosing., 6 hours after breakfast, 6 hours after lunch, and 24 hours]|Creatinine clearance, Safety outcome, While in the study (approximately 2 weeks)|K+ excretion, Safety outcome, While in the study (approximately 2 weeks)",,"Sarfez Pharmaceuticals, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE4,5,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",SAR065-324,2025-01-15,2025-03-25,2025-03-25,2024-11-27,,2025-03-30,"Future Life Clinical Trials, Miami, Florida, 33169, United States",
NCT06615752,Green Tea and Quercetin in Combination With Docetaxel Chemotherapy in Castration-resistant Prostate Cancer Patients,https://clinicaltrials.gov/study/NCT06615752,,TERMINATED,"The goal of this clinical trial is to find out if taking natural products green tea and quercetin along with docetaxel chemotherapy improves the therapy of advanced prostate cancer, i.e., metastatic castration-resistant prostate cancer (mCRPC). It will also learn about the safety of this combination.

Researchers will compare green tea plus quercetin to a placebo (a look-alike substance that contains no drug) in combination with docetaxel to see if green tea and quercetin works to improve the therapeutic effect of docetaxel.",NO,Metastatic Castration-resistant Prostate Cancer (mCRPC),DRUG: green tea and quercetin + docetaxel|DRUG: Placebo + docetaxel,"Efficacy evaluated with blood prostate specific antigen (PSA) level, Blood PSA will be measured at baseline, 1st day of each cycle of docetaxel treatment (21 days per cycle, for 3 cycles), and at the end of the intervention., From enrollment to the end of treatment at 11 weeks","circulating tumor DNA level (ctDNA) analyzed by next generation sequencing, CtDNA will be measured at the 1st day of each cycle of docetaxel treatment, and at the end of the intervention., From the start of intervention at 3 weeks to the end of treatment at 11 weeks.|tumor burden by CT detection, Tumor burden, including tumor number and size, will be assessed in both primary and metastatic sites using computed tomography (CT), to assist in the evaluation of complete response vs. stable disease vs. progressive disease using the RECIST criteria., From the start of intervention at 3 weeks to the end of treatment at 11 weeks.|Adverse events graded by using NCI CTCAE criteria, The Common Terminology Criteria for Adverse Events (CTCAE), version 4.0, will be followed for a comprehensive evaluation of adverse events in multiple systems including blood, liver, gastrointestinal tract, and neural system., From the start of intervention at 3 weeks to the end of treatment at 11 weeks.|Area under curve (AUC) of blood green tea, quercetin, and docetaxel, The AUC of blood green tea, quercetin, and docetaxel will be analyzed in cycle 1 of different dose levels in the dose escalation study., On the 1st day of cycle 1 (each cycle is 21 days, 3 cycles total) of the dose escalation study.|Maximum concentrations (Cmax) of blood green tea, quercetin, and docetaxel, The Cmax of blood green tea, quercetin, and docetaxel will be analyzed in cycle 1 of different dose levels in the dose escalation study., On the 1st day of cycle 1 (each cycle is 21 days, 3 cycles total) of the dose escalation study.|Time taken to reach the maximum concentration (Tmax), The Tmax of blood green tea, quercetin, and docetaxel will be analyzed in cycle 1 of different dose levels in the dose escalation study., On the 1st day of cycle 1 (each cycle is 21 days, 3 cycles total) of the dose escalation study.",,Charles Drew University of Medicine and Science,National Institute on Minority Health and Health Disparities (NIMHD)|Watts Healthcare Corporation,MALE,"ADULT, OLDER_ADULT",PHASE1|PHASE2,1,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",2188250-3|U54MD007598-16,2025-03-21,2025-03-21,2025-03-21,2024-09-27,,2025-04-20,"Charles R. Drew University of Medicine and Science, Los Angeles, California, 90059, United States",
NCT06602960,Nextsense Brain-sensing Buds Study,https://clinicaltrials.gov/study/NCT06602960,,TERMINATED,"The purpose of this clinical trial is to explore how the presentation of sleep data impacts sleep quality, sleep-related behaviors (such as sleepiness), and sleep-related anxiety and stress. The study aims to answer the following key questions:

1. Does receiving sleep-related feedback from a wearable sleep tracker affect an individual\&#39;s mindset about sleep?
2. How does the mindset about sleep influence sleep quality, sleepiness, and stress/anxiety levels related to sleep?
3. Does the feedback on sleep data moderate the relationship between one\&#39;s mindset about sleep and their sleep quality?

Participants will:

1. Be randomly assigned to receive different types of feedback about their sleep data to determine if the way sleep data is presented influences self-reported sleep quality, sleepiness, and sleep-related stress.
2. During the baseline period (Weeks 1-2), complete daily and weekly surveys assessing their sleep habits, beliefs about sleep, anxiety, stress, and mindset regarding sleep.
3. For Weeks 3-4, wear a Fitbit and Brain-Sensing earbuds, receiving daily feedback on their sleep.
4. At the end of the study, provide feedback on their experience using the devices. Participants may choose to return the devices or keep them after the study concludes.",NO,"Sleep|Sleep Quality|Sleepiness, Daytime|Technology",BEHAVIORAL: Accurate Sleep Data Feedback|BEHAVIORAL: Inflated Sleep Data Feedback|BEHAVIORAL: Deflated Sleep Data Feedback|BEHAVIORAL: Accurate Sleep Data Feedback + Sleep-related Educational Information,"Participant-reported Sleep Quality, Measured via self-report using the 15-item Groningen Sleep Quality Scale, with scores ranging from 1 to 14. A score of 14 indicates poor sleep quality the previous night., 4 weeks (Week 1 - Week 4): measured at baseline, in daily surveys.|Sleep data - Total hours of sleep, Total hours of sleep data tracked by Fitbit, 2 weeks (Week 3 - Week 4): measured daily, sleep data tracked by Fitbit will be transmitted to the Alethios platform automatically once a day.|Modified Karolinska Sleepiness Scale, Sleepiness, measured via self-report using the 1-item modified Karolinska Sleepiness Scale, ranges from 1 to 10, with 1 indicating extreme alertness, 3 alert, 5 neither alert nor sleepy, 7 sleepy but no difficulty remaining awake, 9 extremely sleepy, fighting sleep, and 10 extremely sleepy, falling asleep all the time., 4 weeks (Week 1 - Week 4): measured at baseline, in daily surveys.|Fitbit tracked Sleep Quality, Fitbit sleep score, ranging from 0 to 100, indicates sleep quality: 90-100 is excellent, 80-89 good, 60-79 fair, and 0-59 poor, based on duration, disturbances, and restorative sleep., 2 weeks (Week 3 - Week 4): measured daily, sleep data tracked by Fitbit will be transmitted to the Alethios platform automatically once a day.","Anxiety, Stress, and Mindset related to Sleep, Measured via self-report using the 7-item survey., 4 weeks (Week 1 - Week 4): measured at baseline, in weekly surveys.|Dysfunctional Beliefs and Attitudes about Sleep 16-item, Sleep-related mindset, measured via self-report using the 16-item Dysfunctional Beliefs and Attitudes about Sleep, involves calculating the average of the scores from all 16 items. Higher average scores indicate a stronger endorsement of sleep-disruptive beliefs, which are considered maladaptive., 4 weeks (Week 1 - Week 4): measured at baseline, in weekly surveys.|Modified Insomnia Severity Index, Severity of Sleep Problems, measured via self-report using the 5-item Insomnia Severity Index, modified to replace Insomnia with Sleep., Week 2 and Week 4: measured twice.|Satisfaction with sleep, Measured via self-report using a single item, with scores ranging from 1 to 5, where 1 indicates very satisfied and 5 indicates very dissatisfied., Week 2 and Week 4: measured twice.|Sleep Problems Interference with Daily Functioning, Measured via self-report using a single item, with scores ranging from 1 to 5, where 1 indicates not at all interfering and 5 indicates very much interfering., Week 2 and Week 4: measured twice.|Pre-Sleep Arousal Scale, Pre-sleep arousal, measured via self-report using the 16-item Pre-Sleep Arousal Scale, with items rated on a 5-point Likert scale from 1 (not at all) to 5 (extremely). The sum of scores from the first 8 items reflects somatic pre-sleep arousal, and the sum of scores from the last 8 items reflects cognitive pre-sleep arousal. Clinically relevant cut-off scores will be used: ≥14 for somatic pre-sleep arousal and ≥20 for cognitive pre-sleep arousal., 4 weeks (Week 1 - Week 4): measured at baseline, in weekly surveys.","Virtual Research Participation, Measured via self-report using the 10-item questionnaire., Once at the end of the study, through study completion, which averages approximately 1 year.","NextSense, Inc.",,ALL,"ADULT, OLDER_ADULT",NA,40,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: HEALTH_SERVICES_RESEARCH,Sterling IRB #12205,2024-10-07,2025-02-05,2025-04-15,2024-09-19,,2025-04-18,"Alethios (Virtual Study Platform), San Francisco, California, 94109, United States",
NCT06568302,The Long-term Safety and Efficacy of SerpinPC in Subjects with Hemophilia Who Completed a Sponsored SerpinPC Clinical Trial,https://clinicaltrials.gov/study/NCT06568302,PRESent-6,TERMINATED,"The purpose of the study is to evaluate the efficacy, safety, tolerability and pharmacokinetic (PK) profile of prophylactic SerpinPC in participants with hemophilia",NO,Hemophilia a|Hemophilia B|Hemophilia a with Inhibitor|Hemophilia B with Inhibitor,DRUG: SerpinPC,"Treated bleeds, expressed as annualized bleeding rate (ABR), Month 0 to Month 25 or Early termination","Treated spontaneous bleeds (expressed as ABR), Month 0 to Month 25 or Early termination|Treated spontaneous joint bleeds (expressed as ABR), Month 0 to Month 25 or Early termination|All bleeds requiring treatment (expressed as ABR, ie, all treated bleeds and all bleeds that would ordinarily be treated with factor concentrate/bypass agent if therapy were available), Month 0 to Month 25 or Early termination|Total coagulation factor and/or bypass product consumption, Month 0 to Month 25 or Early termination",,ApcinteX Ltd,Centessa Pharmaceuticals plc,MALE,"CHILD, ADULT, OLDER_ADULT",PHASE3,15,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,AP-0106|2023-509965-19,2024-07-11,2025-01-29,2025-01-29,2024-08-23,,2025-02-10,"ARENSIA Exploratory Medicine LLC, Tbilisi, 0112, Georgia|Institute of Oncology, ARENSIA Exploratory Medicine, Chisinau, MD-2025, Moldova, Republic of",
NCT06539676,A Study to Compare Nighttime Aligners to Daytime Aligners,https://clinicaltrials.gov/study/NCT06539676,,TERMINATED,"The purpose of this research study is to see if Nighttime Aligners (worn 10-12 hours per day or night) are effective and safe for tooth movement and if so, how they compare with the standard Daytime aligners (worn 20-22 hours per day), in adults and children from 12 years of age and older.

It will investigate the efficacy and performance of the treatments, as well as the safety of the investigational device and comparator.

The main objectives are:

* Comparison between the two groups concerning actual vs planned tooth movements (measured by changes in tooth position)
* Comparison between the two groups concerning the incidence of device or dental related AEs.
* Overall dentist and participant satisfaction with the treatment.

Participants will:

* Be given orthodontic aligner therapy with the Daytime (20-22h/day) or Nighttime (10-12h/day) Aligners (randomly assigned)
* Attend approximately 5 study during approximately 8-10 months",NO,Teeth Straightening|Aligner Therapy|Orthodontic Aligner,DEVICE: Nighttime Aligners|DEVICE: Daytime Aligners,"Peer Assessment Rating (PAR) index, Comparison between actual vs planned tooth movements, compared between the investigational treatment and the control device, From day 0 (Treatment start) up to 8 months post treatment start (Final visit)","Subject satisfaction with the treatment, Overall subject satisfaction with the treatment assessed by a questionnaire using a rating scale from 1 to 10 (1 very satisfied - 10 very unsatisfied)., At the final visit (2-8 months post day 0)|Dentist (Investigator) satisfaction with the treatment, Overall dentist (investigator) satisfaction with the treatment assessed by a questionnaire using a rating scale from 1 to 10 (1 very satisfied - 10 very unsatisfied)., At the final visit (2-8 months post day 0)|Occurrence of Adverse Events (AEs), Incidence of (device or dental) related AEs associated with the planned investigational treatment, compared to the incidence from treatment with the control device, Continuously collected and reported AEs at each visit from day 0 up to 8 months post treatment start (Final visit)|Subject self-reported pain/discomfort, The subject self-reported values pertaining to pain/discomfort during treatment and comfort in wearing the aligners captured in a questionnaire with Visual Analogue Scale (VAS) with a Wong Baker face scale (score 0-10), where a higher score corresponds to a higher level of pain/discomfort., At each follow-up visit and at the final visit (1-8 months post day 0)",,Dentsply Sirona Implants and Consumables,,ALL,"CHILD, ADULT, OLDER_ADULT",NA,7,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,C-OR-24-017,2024-09-04,2025-01-17,2025-01-17,2024-08-06,,2025-02-12,"Fulbright Dental, Redondo Beach, California, 90277, United States|3D Dental, Miami Beach, Florida, 33140, United States|Elite Dental of Towson, Towson, Maryland, 21204, United States|Cedars Family Dental, Plainville, Massachusetts, 02762, United States|R. Lobato & Associates, Las Vegas, Nevada, 89117, United States|Aesthetic Dental, North Bergen, New Jersey, 07047, United States|Huerta Dentistry, New York, New York, 10001, United States|Brush365, Frisco, Texas, 75035, United States|Gustafson Dental, Humble, Texas, 77396, United States|SKM Dentistry d/b/a brush365 Dental, Hurst, Texas, 76003, United States|Northwest Dental Medicine, Puyallup, Washington, 98372, United States|Gregson Family Dentistry, Milwaukee, Wisconsin, 17655, United States",
NCT06524687,"A Study of Imvotamab in Active, Refractory Idiopathic Inflammatory Myopathies",https://clinicaltrials.gov/study/NCT06524687,,TERMINATED,"The purpose of this study is to determine the safety and tolerability of imvotamab in patients with Moderate-Severe Idiopathic Inflammatory Myopathies who have failed prior therapies.

Participants will be given imvotamab through a vein (i.e., intravenously).",NO,Idiopathic Inflammatory Myopathies|Inflammatory Myopathies,DRUG: Imvotamab,"Safety and tolerability of imvotamab, Incidence of adverse events (AEs), serious adverse events (SAEs), including serious, Time Frame: Up to Week 50",,,"IGM Biosciences, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE1,2,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,IGM-2323-103,2024-05-29,2025-01-21,2025-01-21,2024-07-29,,2025-02-11,"Standford University, Palo Alto, California, 94306, United States",
